"","DMSO_treated_Huh7R_1","DMSO_treated_Huh7R_2","DMSO_treated_Huh7R_3","Fostamatinib_treated_Huh7R_1","Fostamatinib_treated_Huh7R_2","Fostamatinib_treated_Huh7R_3"
"ENSG00000000003",708,393,420,423,439,325
"ENSG00000000005",0,0,0,0,0,0
"ENSG00000000419",1992,1144,1108,906,941,644
"ENSG00000000457",390,203,223,224,230,204
"ENSG00000000460",649,344,310,193,197,134
"ENSG00000000938",3,0,0,0,0,1
"ENSG00000000971",7944,5132,5372,3295,3504,2554
"ENSG00000001036",8855,4770,4547,3907,4168,3151
"ENSG00000001084",3218,1564,1570,1800,1907,1432
"ENSG00000001167",1441,878,870,733,829,584
"ENSG00000001460",271,133,123,135,122,88
"ENSG00000001461",1077,478,491,592,587,458
"ENSG00000001497",2045,953,942,746,787,534
"ENSG00000001561",1,0,0,1,0,0
"ENSG00000001617",45,15,27,41,27,20
"ENSG00000001626",49,28,21,34,37,25
"ENSG00000001629",2682,1222,1332,1080,1223,942
"ENSG00000001630",0,0,0,0,0,0
"ENSG00000001631",4,0,0,0,0,2
"ENSG00000002016",527,234,237,312,257,251
"ENSG00000002079",3,6,0,1,5,1
"ENSG00000002330",845,380,277,374,379,292
"ENSG00000002549",2211,1116,1060,813,874,663
"ENSG00000002586",2974,1314,1233,1489,1491,1135
"ENSG00000002587",161,52,55,26,29,14
"ENSG00000002726",0,0,0,0,0,0
"ENSG00000002745",0,0,0,0,0,0
"ENSG00000002746",745,353,346,421,431,365
"ENSG00000002822",0,0,0,0,0,0
"ENSG00000002834",19714,7742,7483,7511,7851,5950
"ENSG00000002919",693,268,247,230,202,161
"ENSG00000002933",0,0,1,0,0,0
"ENSG00000003056",4773,2655,2665,2306,2408,1972
"ENSG00000003096",283,139,138,380,425,309
"ENSG00000003137",3403,1186,1053,1021,934,747
"ENSG00000003147",589,344,305,388,388,326
"ENSG00000003249",2005,825,798,611,570,421
"ENSG00000003393",2336,1254,1278,1361,1441,1066
"ENSG00000003400",389,201,217,219,221,160
"ENSG00000003402",2340,1072,1090,1059,1048,750
"ENSG00000003436",2596,1381,1476,1166,1221,875
"ENSG00000003509",521,292,295,278,301,214
"ENSG00000003756",2188,1063,1048,1131,1277,1016
"ENSG00000003987",56,27,18,24,32,33
"ENSG00000003989",9118,3942,3899,5474,5965,4589
"ENSG00000004059",2732,1219,1078,1217,1240,983
"ENSG00000004139",56,18,14,33,21,22
"ENSG00000004142",4277,1981,1917,1603,1679,1272
"ENSG00000004399",3226,1312,1151,1012,1021,861
"ENSG00000004455",4508,2500,2363,1830,1810,1374
"ENSG00000004468",282,171,137,89,106,69
"ENSG00000004478",7883,3305,3056,2045,2089,1518
"ENSG00000004487",2881,1381,1391,1119,1195,911
"ENSG00000004534",2064,1031,982,1059,1238,910
"ENSG00000004660",78,37,21,21,12,15
"ENSG00000004700",2759,1578,1631,1480,1651,1203
"ENSG00000004766",732,423,430,392,440,358
"ENSG00000004776",9,6,5,3,2,2
"ENSG00000004777",158,42,43,61,68,55
"ENSG00000004779",1106,708,753,660,696,492
"ENSG00000004799",52,24,37,133,160,112
"ENSG00000004809",1,0,0,0,0,0
"ENSG00000004838",65,18,20,27,31,25
"ENSG00000004846",2,0,0,0,1,2
"ENSG00000004848",30,5,8,7,11,4
"ENSG00000004864",3396,1466,1523,1316,1419,1020
"ENSG00000004866",831,568,543,469,497,380
"ENSG00000004897",2834,1482,1510,1402,1446,1089
"ENSG00000004939",0,0,0,0,0,0
"ENSG00000004948",103,52,50,37,53,32
"ENSG00000004961",3166,1576,1483,1178,1173,844
"ENSG00000004975",1954,825,785,844,908,685
"ENSG00000005001",97,27,23,16,17,14
"ENSG00000005007",12744,4773,4368,4237,4329,3386
"ENSG00000005020",1972,873,959,1050,1094,924
"ENSG00000005022",7994,3511,3434,3082,3191,2270
"ENSG00000005059",585,237,249,219,219,152
"ENSG00000005073",600,207,215,150,119,107
"ENSG00000005075",1039,591,502,607,592,457
"ENSG00000005100",417,228,213,105,124,120
"ENSG00000005102",2,0,0,0,0,0
"ENSG00000005108",343,137,153,148,173,150
"ENSG00000005156",1036,581,514,477,484,371
"ENSG00000005175",1908,1158,1159,905,951,763
"ENSG00000005187",18,9,9,10,16,7
"ENSG00000005189",187,85,76,64,86,76
"ENSG00000005194",1955,891,883,908,880,633
"ENSG00000005206",1598,496,425,609,587,490
"ENSG00000005238",986,393,378,443,557,402
"ENSG00000005243",8,5,1,2,5,2
"ENSG00000005249",13,5,14,2,6,2
"ENSG00000005302",573,276,276,289,288,266
"ENSG00000005339",2860,1361,1294,1345,1388,1088
"ENSG00000005379",3,0,0,0,0,2
"ENSG00000005381",0,0,0,0,0,0
"ENSG00000005421",333,224,245,316,312,223
"ENSG00000005436",618,250,291,207,239,181
"ENSG00000005448",128,59,41,58,63,35
"ENSG00000005469",325,136,167,169,207,134
"ENSG00000005471",91,49,56,32,41,45
"ENSG00000005483",2204,1243,1241,1245,1393,1041
"ENSG00000005486",2232,800,617,866,945,716
"ENSG00000005513",0,0,0,0,0,0
"ENSG00000005700",4052,2031,2157,1606,1773,1324
"ENSG00000005801",794,500,436,293,318,202
"ENSG00000005810",3800,2037,2007,1441,1472,1236
"ENSG00000005812",1253,458,505,458,453,360
"ENSG00000005844",59,37,27,53,62,38
"ENSG00000005882",120,70,37,82,77,72
"ENSG00000005884",1025,376,358,315,346,243
"ENSG00000005889",1967,744,720,845,949,693
"ENSG00000005893",8983,4516,4774,3963,4161,3179
"ENSG00000005961",5,1,3,1,5,1
"ENSG00000005981",4,2,0,7,6,6
"ENSG00000006007",1675,874,902,891,941,665
"ENSG00000006015",1660,524,497,525,525,387
"ENSG00000006016",27,12,5,5,6,2
"ENSG00000006025",165,74,74,92,115,80
"ENSG00000006042",292,144,150,149,128,109
"ENSG00000006047",1,2,0,0,2,0
"ENSG00000006059",0,0,0,0,0,0
"ENSG00000006062",246,89,111,116,131,114
"ENSG00000006071",2,1,2,0,2,0
"ENSG00000006116",0,0,0,0,0,0
"ENSG00000006118",13526,4326,3868,3042,2991,2356
"ENSG00000006125",7116,3458,3232,2965,2923,2267
"ENSG00000006128",0,0,0,0,0,0
"ENSG00000006194",1132,510,447,369,405,290
"ENSG00000006210",3674,1681,1468,2310,2186,1718
"ENSG00000006282",1916,843,708,1220,1259,979
"ENSG00000006283",355,152,127,317,288,234
"ENSG00000006327",3317,1582,1391,622,657,499
"ENSG00000006377",67,24,25,21,26,17
"ENSG00000006432",1595,788,698,643,668,540
"ENSG00000006451",2295,1204,1283,854,888,642
"ENSG00000006453",3957,1724,1716,1177,1314,979
"ENSG00000006459",925,459,495,247,252,223
"ENSG00000006468",331,131,165,21,19,16
"ENSG00000006530",1127,628,588,464,465,365
"ENSG00000006534",4555,1880,1628,3374,3298,2660
"ENSG00000006555",251,104,83,155,182,132
"ENSG00000006576",817,400,392,258,304,201
"ENSG00000006606",11,6,5,6,6,1
"ENSG00000006607",835,428,377,410,432,328
"ENSG00000006611",426,258,205,742,741,571
"ENSG00000006625",353,172,200,102,116,79
"ENSG00000006634",859,466,525,367,393,270
"ENSG00000006638",144,45,32,46,35,22
"ENSG00000006652",5377,2269,2294,1080,1173,910
"ENSG00000006659",0,0,0,0,0,0
"ENSG00000006695",1037,505,477,398,369,301
"ENSG00000006704",1232,530,503,482,487,388
"ENSG00000006712",3004,1655,1481,1644,1622,1309
"ENSG00000006715",3186,1450,1434,1384,1538,1113
"ENSG00000006740",15,4,5,2,3,3
"ENSG00000006744",2555,1223,1158,994,1069,770
"ENSG00000006747",5,0,2,2,5,6
"ENSG00000006756",584,277,229,262,271,221
"ENSG00000006757",127,67,53,65,66,32
"ENSG00000006788",1,1,0,0,1,0
"ENSG00000006831",2934,1496,1553,1463,1524,1042
"ENSG00000006837",0,0,0,0,0,0
"ENSG00000007001",12,8,4,6,5,4
"ENSG00000007038",0,0,0,0,0,0
"ENSG00000007047",1575,559,452,628,609,439
"ENSG00000007062",3374,2031,1961,1005,1047,848
"ENSG00000007080",3298,1206,1043,904,880,640
"ENSG00000007129",1,0,0,0,0,0
"ENSG00000007168",5260,2185,2206,1989,1986,1498
"ENSG00000007171",0,0,0,0,0,0
"ENSG00000007174",4,0,0,0,0,0
"ENSG00000007202",12104,5593,5318,4965,4968,3789
"ENSG00000007216",0,0,0,0,0,0
"ENSG00000007237",4,0,0,0,0,0
"ENSG00000007255",879,300,267,361,329,243
"ENSG00000007264",1,0,0,0,0,2
"ENSG00000007306",0,0,0,0,0,0
"ENSG00000007312",0,0,0,0,0,0
"ENSG00000007314",1,0,0,0,0,0
"ENSG00000007341",361,216,165,149,149,96
"ENSG00000007350",0,0,0,0,0,0
"ENSG00000007372",614,297,285,218,240,186
"ENSG00000007376",1049,328,287,250,266,167
"ENSG00000007384",1240,523,442,463,464,350
"ENSG00000007392",1028,412,419,401,436,283
"ENSG00000007402",1,0,0,0,0,0
"ENSG00000007516",34,6,13,26,32,21
"ENSG00000007520",1537,409,395,447,393,298
"ENSG00000007541",696,203,202,244,233,179
"ENSG00000007545",165,29,16,34,34,24
"ENSG00000007866",1784,693,654,731,731,557
"ENSG00000007908",13,3,7,3,0,0
"ENSG00000007923",4007,1781,1553,1290,1348,1031
"ENSG00000007933",0,0,0,0,0,0
"ENSG00000007944",221,121,148,111,111,90
"ENSG00000007952",1,4,7,5,1,6
